id,project_id,name,role
72,72,Primary investigators Name Affiliation Prof Mark Collinson SAPRIN Dr Kobus Herbst SAPRIN Prof Steve Tollman Agincourt Dr Eric Maimela DIMAMO Prof Willem Hanekom AHRI,AUTHOR
73,73,"Primary investigators Name Affiliation Centre for Population Studies (CENPOPS) University of Pretoria Population Studies and Training Center (PSTC) Brown University, USA",AUTHOR
74,74,"Primary investigators Name Affiliation Hungry Cities Partnership, African Centre for Cities University of Cape Town",AUTHOR
75,75,Primary investigators Name Affiliation Democracy in Africa Research Unit University of Cape Town,AUTHOR
76,76,Primary investigators Name Affiliation Democracy in Africa Research Unit University of Cape Town,AUTHOR
77,77,Primary investigators Name Affiliation James L. Gibson Washington University in St. Louis. Department of Political Science,AUTHOR
78,78,"Primary investigators Name Affiliation Hungry Cities Partnership, African Centre for Cities University of Cape Town",AUTHOR
79,79,Primary investigators Name Affiliation Southern Africa Labour and Development Research Unit University of Cape Town,AUTHOR
80,80,"Primary investigators Name Affiliation Hungry Cities Partnership, African Centre for Cities University of Cape Town",AUTHOR
81,81,"Primary investigators Name Affiliation Hungry Cities Partnership, African Centre for Cities University of Cape Town",AUTHOR
82,82,Primary investigators Name Affiliation Eskom Government of South Africa Stellenbosch University University of Cape Town,AUTHOR
83,83,Primary investigators Name Finmark Trust,AUTHOR
84,84,Primary investigators Name Affiliation International Food Policy Research Institute School of Development Studies University of Natal (now University of Kwazulu-Natal) University of Wisconsin-Madison BASIS/CRSP project,AUTHOR
85,85,Primary investigators Name Affiliation Southern Africa Labour and Development Research Unit University of Cape Town,AUTHOR
86,86,Primary investigators Name Institute for Democracy in South Africa (IDASA) Michigan State University (MSU) Ghana Centre for Democratic Development (CDD-Ghana),AUTHOR
87,87,Primary investigators Name Affiliation South African Department of Labour Government of South Africa Central Statistical Service (CSS) (now Statistics South Africa) Government of South Africa,AUTHOR
88,88,"Primary investigators Name Affiliation Ghana Centre for Democratic Development (CDD) Ghana Institute for Justice and Reconciliation in South Africa (IJR) South Africa Institute for Empirical Research in Political Economy (IREEP) Benin Institute for Development Studies (IDS) Kenya Michigan State University (MSU) United States University of Cape Town (UCT, South Africa)",AUTHOR
89,89,"Primary investigators Name Affiliation Ghana Centre for Democratic Development (CDD) Ghana Institute for Justice and Reconciliation in South Africa (IJR) South Africa Institute for Empirical Research in Political Economy (IREEP) Benin Institute for Development Studies (IDS) Kenya Michigan State University (MSU) United States University of Cape Town (UCT, South Africa)",AUTHOR
90,90,"Primary investigators Name Affiliation Ghana Centre for Democratic Development (CDD) Ghana Institute for Justice and Reconciliation in South Africa (IJR) South Africa Institute for Empirical Research in Political Economy (IREEP) Benin Institute for Development Studies (IDS) Kenya Michigan State University (MSU) United States University of Cape Town (UCT, South Africa)",AUTHOR
91,91,Primary investigators Name Affiliation Ghana Centre for Democratic Development (CDD) Ghana Institute for Justice and Reconciliation in South Africa (IJR) South Africa Institute for Empirical Research in Political Economy (IREEP) Benin Institute for Development Studies (IDS) Kenya Michigan State University (MSU) United States University of Cape Town (UCT) South Africa,AUTHOR
92,92,Primary investigators Name Affiliation Eskom Government of South Africa Stellenbosch University University of Cape Town,AUTHOR
93,93,Primary investigators Name Affiliation Eskom Government of South Africa University of Cape Town University of Stellenbosch,AUTHOR
94,94,"Gjerde, Vegard University of Bergen ORCID 0000-0001-9688-408X",AUTHOR
95,95,"Gjerde, Vegard University of Bergen ORCID 0000-0001-9688-408X",AUTHOR
96,96,"Gjerde, Vegard University of Bergen ORCID 0000-0001-9688-408X",AUTHOR
97,97,"Gjerde, Vegard University of Bergen ORCID 0000-0001-9688-408X",AUTHOR
98,98,"Gjerde, Vegard University of Bergen ORCID 0000-0001-9688-408X",AUTHOR
99,99,"Gjerde, Vegard University of Bergen ORCID 0000-0001-9688-408X",AUTHOR
100,100,Haugland Charlotte University of South-Eastern Norway Kulset Ellen Hiorth Marthinsen University of South-Eastern Norway,AUTHOR
101,101,Haugland Charlotte University of South-Eastern Norway Kulset Ellen Hiorth Marthinsen University of South-Eastern Norway,AUTHOR
102,102,"Vinje, Hilde Norwegian University of Life Sciences (NMBU) ORCID https://orcid.org/0000-0003-0318-0214",AUTHOR
103,103,"Vinje, Hilde Norwegian University of Life Sciences (NMBU) ORCID https://orcid.org/0000-0003-0318-0214",AUTHOR
104,104,Mjøseng Anneline University of South-Eastern Norway Sandsleth Marit Gjone University of South-Eastern Norway,AUTHOR
105,105,Mjøseng Anneline University of South-Eastern Norway Sandsleth Marit Gjone University of South-Eastern Norway,AUTHOR
106,106,Mjøseng Anneline University of South-Eastern Norway Sandsleth Marit Gjone University of South-Eastern Norway,AUTHOR
107,107,"Tay, Emmanuel Mensah Kormla University of Agder ORCID https://orcid.org/0000-0003-0645-8218",AUTHOR
