id,project_id,license
263,516,CC0 1.0
264,517,CC0 1.0
265,518,CC0 1.0
266,519,CC0 1.0
267,520,CC0 1.0
268,521,CC0 1.0
269,522,CC0 1.0
270,523,CC0 1.0
271,524,CC0 1.0
272,525,CC0 1.0
273,526,CC0 1.0
274,527,CC0 1.0
275,528,CC0 1.0
276,529,CC0 1.0
277,530,CC0 1.0
278,531,CC0 1.0
279,532,CC BY 4.0
280,533,CC BY 4.0
281,534,CC BY 4.0
282,535,CC BY 4.0
283,536,CC BY 4.0
284,537,CC BY 4.0
285,538,CC BY 4.0
286,539,CC BY 4.0
287,540,CC BY 4.0
288,541,CC BY 4.0
289,542,CC BY 4.0
290,543,CC BY 4.0
291,544,CC BY 4.0
292,545,CC BY 4.0
293,546,CC BY 4.0
294,547,CC BY 4.0
295,548,CC BY 4.0
296,549,CC BY 4.0
297,550,CC BY 4.0
298,551,CC BY 4.0
299,552,CC BY 4.0
300,553,CC BY 4.0
301,554,CC BY 4.0
302,555,CC BY 4.0
303,556,CC BY 4.0
304,557,CC BY 4.0
305,558,CC BY 4.0
306,559,CC BY 4.0
307,560,CC BY 4.0
308,561,CC BY 4.0
309,562,CC BY 4.0
310,563,CC BY 4.0
311,564,CC BY 4.0
312,565,CC BY 4.0
313,566,CC BY 4.0
314,567,CC BY 4.0
315,568,CC BY 4.0
316,569,CC BY 4.0
317,570,CC BY 4.0
318,571,CC BY 4.0
319,572,CC BY 4.0
320,573,CC BY 4.0
321,574,CC BY 4.0
322,575,CC BY 4.0
323,576,CC BY 4.0
324,577,CC BY 4.0
325,578,CC BY 4.0
326,579,CC BY 4.0
327,580,CC BY 4.0
328,581,CC BY 4.0
329,582,CC BY 4.0
330,583,CC BY 4.0
331,584,CC BY 4.0
332,585,CC BY 4.0
333,586,CC BY 4.0
334,587,CC BY 4.0
335,588,CC0 1.0
336,589,CC0 1.0
337,590,CC0 1.0
338,591,CC0 1.0
339,592,CC0 1.0
340,593,CC0 1.0
341,594,CC0 1.0
342,595,CC0 1.0
343,596,CC0 1.0
344,597,CC0 1.0
345,598,CC0 1.0
346,599,CC0 1.0
