id,project_id,keyword
193,110,Measures
194,110,Students´ recommendations
195,110,Higher education
196,110,Bullying Prevention Measures Students´ recommendations Higher education
197,111,Arts and Humanities
198,111,Social Sciences
199,111,Bullying
200,111,Prevention
201,111,Measures
202,111,Students´ recommendations
203,111,Higher education
204,111,Bullying Prevention Measures Students´ recommendations Higher education
205,112,Arts and Humanities
206,112,Social Sciences
207,112,Bullying
208,112,Prevention
209,112,Measures
210,112,Students´ recommendations
211,112,Higher education
212,112,Bullying Prevention Measures Students´ recommendations Higher education
213,113,Arts and Humanities
214,113,Social Sciences
215,113,Bullying
216,113,Prevention
217,113,Measures
218,113,Students´ recommendations
219,113,Higher education
220,113,Bullying Prevention Measures Students´ recommendations Higher education
221,114,Medicine
222,114,Health and Life Sciences
223,114,attrition
224,114,dropout
225,114,research participation
226,114,attrition dropout research participation
227,115,Medicine
228,115,Health and Life Sciences
229,115,attrition
230,115,dropout
231,115,research participation
232,115,attrition dropout research participation
233,116,Other
234,116,PDC
235,116,PfDK
236,116,Pre-service teacher
237,116,student teacher
238,116,teacher education
239,116,PDC PfDK Pre-service teacher student teacher teacher education
240,117,Other
241,117,PDC
242,117,PfDK
243,117,Pre-service teacher
244,117,student teacher
245,117,teacher education
246,117,PDC PfDK Pre-service teacher student teacher teacher education
247,118,Medicine
248,118,Health and Life Sciences
249,118,collaborative
250,118,educational guide
251,118,midwifery education
252,118,newborn resuscitation
253,118,simplified guidance
254,118,stimulate
255,118,ventilate
256,118,collaborative educational guide midwifery education newborn resuscitation simplified guidance stimulate ventilate
257,119,Medicine
258,119,Health and Life Sciences
259,119,collaborative
260,119,educational guide
261,119,midwifery education
262,119,newborn resuscitation
263,119,simplified guidance
264,119,stimulate
265,119,ventilate
266,119,collaborative educational guide midwifery education newborn resuscitation simplified guidance stimulate ventilate
267,120,Social Sciences
268,120,Other
269,120,Education
270,120,Science Education
271,120,Mathematics Education
272,120,Socioscientific issues
273,120,Argumentation
274,120,Dialogue
275,120,Classroom
276,120,Education Science Education Mathematics Education Socioscientific issues Argumentation Dialogue Classroom
277,121,Social Sciences
278,121,Other
279,121,Education
280,121,Science Education
281,121,Mathematics Education
282,121,Socioscientific issues
283,121,Argumentation
284,121,Dialogue
285,121,Classroom
286,121,Education Science Education Mathematics Education Socioscientific issues Argumentation Dialogue Classroom
287,122,Social Sciences
288,122,Other
289,122,Education
290,122,Science Education
291,122,Mathematics Education
292,122,Socioscientific issues
293,122,Argumentation
294,122,Dialogue
295,122,Classroom
296,122,Education Science Education Mathematics Education Socioscientific issues Argumentation Dialogue Classroom
297,123,Social Sciences
298,123,Other
299,123,Education
300,123,Science Education
301,123,Mathematics Education
302,123,Socioscientific issues
303,123,Argumentation
304,123,Dialogue
305,123,Classroom
306,123,Education Science Education Mathematics Education Socioscientific issues Argumentation Dialogue Classroom
307,124,Social Sciences
308,124,Other
309,124,Education
310,124,Science Education
311,124,Mathematics Education
312,124,Socioscientific issues
313,124,Argumentation
314,124,Dialogue
315,124,Classroom
316,124,Education Science Education Mathematics Education Socioscientific issues Argumentation Dialogue Classroom
317,125,Social Sciences
318,125,Other
319,125,Education
320,125,Science Education
321,125,Mathematics Education
322,125,Socioscientific issues
323,125,Argumentation
324,125,Dialogue
325,125,Classroom
326,125,Education Science Education Mathematics Education Socioscientific issues Argumentation Dialogue Classroom
327,126,Social Sciences
328,126,Other
329,126,Education
330,126,Science Education
331,126,Mathematics Education
332,126,Socioscientific issues
333,126,Argumentation
334,126,Dialogue
335,126,Classroom
336,126,Education Science Education Mathematics Education Socioscientific issues Argumentation Dialogue Classroom
337,127,Social Sciences
338,127,Other
339,127,Education
340,127,Science Education
341,127,Mathematics Education
342,127,Socioscientific issues
343,127,Argumentation
344,127,Dialogue
345,127,Classroom
346,127,Education Science Education Mathematics Education Socioscientific issues Argumentation Dialogue Classroom
347,128,Social Sciences
348,128,Other
349,128,Education
350,128,Science Education
351,128,Mathematics Education
352,128,Socioscientific issues
353,128,Argumentation
354,128,Dialogue
355,128,Classroom
356,128,Education Science Education Mathematics Education Socioscientific issues Argumentation Dialogue Classroom
